ID,NAME,LAT,LONG,ELEVATION
467,46-0000000_7-8750000p,46,7.88,3470.2
468,46-0000000_7-8958333p,46,7.9,3370.5
469,46-0000000_7-9166667p,46,7.92,2881.8
470,46-0000000_7-9375000p,46,7.94,2716.5
471,46-0000000_7-9583333p,46,7.96,2525.8
472,46-0000000_7-9791667p,46,7.98,2670
473,46-0000000_8-0000000p,46,8,2319.2
474,46-0000000_8-0208333p,46,8.02,2131
475,46-0000000_8-0416667p,46,8.04,2225.2
476,46-0000000_8-7708333p,46,8.77,312.2
477,46-0000000_8-7916667p,46,8.79,314.2
478,46-0000000_8-8125000p,46,8.81,314.2
479,46-0000000_8-8333333p,46,8.83,499
480,46-0000000_8-8541667p,46,8.85,584.5
481,46-0000000_8-8750000p,46,8.88,403.2
482,46-0000000_8-8958333p,46,8.9,259.5
483,46-0000000_8-9166667p,46,8.92,367.2
484,46-0000000_8-9375000p,46,8.94,294
485,46-0000000_8-9583333p,46,8.96,236
486,46-0000000_8-9791667p,46,8.98,257
487,46-0000000_9-0000000p,46,9,580.5
488,46-0000000_9-0208333p,46,9.02,787.8
489,46-0000000_9-0416667p,46,9.04,836
490,46-0208333_6-8541667p,46.02,6.85,2525.5
491,46-0208333_6-8750000p,46.02,6.88,1862
492,46-0208333_6-8958333p,46.02,6.9,1676
493,46-0208333_6-9166667p,46.02,6.92,1677
494,46-0208333_6-9375000p,46.02,6.94,1895.2
495,46-0208333_6-9583333p,46.02,6.96,2332
496,46-0208333_6-9791667p,46.02,6.98,2584
497,46-0208333_7-0000000p,46.02,7,2294.2
498,46-0208333_7-0208333p,46.02,7.02,2507.5
499,46-0208333_7-0416667p,46.02,7.04,2410
500,46-0208333_7-0625000p,46.02,7.06,2293.2
501,46-0208333_7-0833333p,46.02,7.08,2016.5
502,46-0208333_7-1041667p,46.02,7.1,1593
503,46-0208333_7-1250000p,46.02,7.13,1168
504,46-0208333_7-1458333p,46.02,7.15,1171.2
505,46-0208333_7-1666667p,46.02,7.17,1592.5
506,46-0208333_7-1875000p,46.02,7.19,2303
507,46-0208333_7-2083333p,46.02,7.21,2503.5
508,46-0208333_7-2291667p,46.02,7.23,2725
509,46-0208333_7-2500000p,46.02,7.25,2349.8
510,46-0208333_7-2708333p,46.02,7.27,2294.5
511,46-0208333_7-2916667p,46.02,7.29,2261.5
512,46-0208333_7-3125000p,46.02,7.31,1882.5
513,46-0208333_7-3333333p,46.02,7.33,2257.5
514,46-0208333_7-3541667p,46.02,7.35,2928
515,46-0208333_7-3750000p,46.02,7.38,3043.2
516,46-0208333_7-3958333p,46.02,7.4,2968.2
